report,category,terminal,gate,metric,time_slot,sample_n,mmss,seconds
2차,신분확인,T1,2번출국장,P95,06시~07시,1231,0:04:36,276
2차,신분확인,T1,2번출국장,P95,07시~08시,1352,0:04:24,264
2차,신분확인,T1,2번출국장,P95,08시~09시,1314,0:08:30,510
2차,신분확인,T1,2번출국장,P95,09시~10시,1303,0:10:07,607
2차,신분확인,T1,2번출국장,P95,10시~11시,1092,0:07:34,454
2차,신분확인,T1,2번출국장,P95,13시~14시,1302,0:06:11,371
2차,신분확인,T1,2번출국장,P95,14시~15시,1196,0:01:35,95
2차,신분확인,T1,2번출국장,P95,15시~16시,1204,0:02:47,167
2차,신분확인,T1,2번출국장,P95,16시~17시,1204,0:03:02,182
2차,신분확인,T1,2번출국장,P95,17시~18시,1058,0:01:20,80
2차,신분확인,T1,3번출국장,P95,전체,12256,0:17:57,1077
2차,신분확인,T1,3번출국장,P95,06시~07시,1231,0:09:07,547
2차,신분확인,T1,3번출국장,P95,07시~08시,1352,0:08:52,532
2차,신분확인,T1,3번출국장,P95,08시~09시,1314,0:16:40,1000
2차,신분확인,T1,3번출국장,P95,09시~10시,1303,0:16:41,1001
2차,신분확인,T1,3번출국장,P95,10시~11시,1092,0:11:59,719
2차,신분확인,T1,3번출국장,P95,13시~14시,1302,0:17:57,1077
2차,신분확인,T1,3번출국장,P95,14시~15시,1196,0:09:00,540
2차,신분확인,T1,3번출국장,P95,15시~16시,1204,0:04:35,275
2차,신분확인,T1,3번출국장,P95,16시~17시,1204,0:07:14,434
2차,신분확인,T1,3번출국장,P95,17시~18시,1058,0:05:15,315
2차,신분확인,T1,4번출국장,P95,전체,12256,0:40:27,2427
2차,신분확인,T1,4번출국장,P95,06시~07시,1231,0:05:44,344
2차,신분확인,T1,4번출국장,P95,07시~08시,1352,0:01:41,101
2차,신분확인,T1,4번출국장,P95,08시~09시,1314,0:10:28,628
2차,신분확인,T1,4번출국장,P95,09시~10시,1303,0:40:27,2427
2차,신분확인,T1,4번출국장,P95,10시~11시,1092,0:12:34,754
